股票代號,股票名稱,持有股數
2330,台灣積體電路製造,634000
2454,聯發科技,269000
2059,川湖科技,91000
2383,台光電子材料,151000
2308,台達電子工業,378000
3037,欣興電子,562000
7769,鴻勁精密,73000
3081,聯亞光電工業,237600
2408,南亞科技,1008000
6223,旺矽科技,76000
2317,鴻海精密工業,1447000
6515,穎崴科技,55000
2368,金像電子（股）公司,393000
2345,智邦科技,147000
3017,奇鋐科技,131000
2360,致茂電子,143000
6669,緯穎科技服務,47000
1303,南亞塑膠工業,1535000
3711,日月光投資控股,400000
3653,健策精密工業,64000
3443,創意電子,59000
5274,信驊科技,16300
5904,寶雅國際,312450
6274,台燿科技,187000
3036,文曄科技,1067000
2376,技嘉科技,623000
2891,中國信託金融控股,3264000
2382,廣達電腦,647000
8046,南亞電路板,203000
8299,群聯電子,120000
2327,國巨,345000
2344,華邦電子,1153000
8996,高力熱處理工業,181000
3293,鈊象電子,225000
3231,緯創資通,871000
2884,玉山金融控股,3867622
3008,大立光電,35000
4958,臻鼎科技控股,318000
8210,勤誠興業,132000
3529,力旺電子,60000
6213,聯茂電子,460000
3189,景碩科技,184000
3665,貿聯控股（BizLink Holding In,32336
6805,富世達,54000
3026,禾伸堂企業,134000
3044,健鼎科技,164000
3264,欣銓科技,316000
6831,邁科科技,83000
6442,光紅建聖,37000
3533,嘉澤端子工業,13000
